Date,Open,High,Low,Close,Volume,Adj Close
1/9/2008,83.4,84,80.5,80.8,2088800,77.87
1/8/2008,86.9,90.9,82.4,83.65,4517800,80.61
1/7/2008,85.15,87.45,85.1,85.25,1556100,82.15
1/4/2008,87.5,89.35,85,86.85,2591300,83.7
1/3/2008,88,89,86.25,86.6,2241200,83.45
1/2/2008,90,90.75,87.6,88.65,2492600,85.43
1/1/2008,90.9,91.25,88.5,90.15,3269500,86.88
12/31/2007,91.3,93.3,90,90.25,7663700,86.97
12/28/2007,83.6,90.95,83.6,89.6,15318500,86.35
12/27/2007,83.5,87.3,83,85.85,10684100,82.73
12/26/2007,81,83.75,80,83.55,6084200,80.52
12/24/2007,78.75,80.1,78.2,79.3,1856900,76.42
12/20/2007,81.05,82,78.1,78.1,2786500,75.26
12/19/2007,79.35,83.05,77.7,80.5,6100200,77.58
12/18/2007,80.8,81.75,76.2,78.1,4535500,75.26
12/17/2007,83.7,87.6,78.05,80.15,16270400,77.24
12/14/2007,79,84.4,78.6,83.8,9315800,80.76
12/13/2007,80.9,81.75,78.3,79.3,2769000,76.42
12/12/2007,77.7,82,77.7,80.7,3714500,77.77
12/11/2007,81.5,82.5,78.05,80.25,5394300,77.34
12/10/2007,76.9,81.9,74.8,80.75,7895200,77.82
12/7/2007,78,79,74,76,3387800,73.24
12/6/2007,80.9,81.4,76,77,2672200,74.2
12/5/2007,81.85,81.9,78.5,79.35,3828500,76.47
12/4/2007,78.15,84.4,76.8,81.05,12502700,78.11
12/3/2007,75.4,78.8,75.1,77.75,6138200,74.93
11/30/2007,74.1,75.75,73.2,74.5,4003300,71.79
11/29/2007,74,75.5,70.1,73.95,4188700,71.26
11/28/2007,72.8,75.85,72.1,72.55,5249700,69.91
11/27/2007,70,73.2,69,71.9,2832200,69.29
11/26/2007,70.35,71.85,69.45,69.6,2520200,67.07
11/23/2007,69.85,71,67.6,69.6,2411500,67.07
11/22/2007,68.75,72.35,66,69.4,5499000,66.88
11/21/2007,74.4,76.7,66.2,68.75,4868600,66.25
11/20/2007,73,79.5,72.55,74.9,10971300,72.18
11/19/2007,73.7,75.5,72.05,73.55,4565500,70.88
11/16/2007,72.7,74.2,70.55,71.65,2863700,69.05
11/15/2007,71.85,75.15,71,71.9,6246600,69.29
11/14/2007,70,73.55,69,71.1,5014300,68.52
11/13/2007,67.7,69.9,66.65,68.3,2373900,65.82
11/12/2007,68,68.5,64.7,67.05,3537600,64.61
11/9/2007,70.2,70.8,68.15,69.25,1280300,66.73
11/8/2007,69,70,66.25,70,2053900,67.46
11/7/2007,72.7,73.45,67.6,70.2,2860000,67.65
11/6/2007,72,78.4,70,72,6424400,69.38
11/5/2007,68,70.85,65.1,70.05,4764200,67.51
